mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_validation_rmse,std_validation_rmse
0.02592616081237793,0.006019535457260649,0.003820991516113281,0.0014034651577195605,1.0,0.01,3,100,1,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 1, 'model__subsample': 1.0}",-2.6589192360536074,-2.758817806430545,-2.6927390448434543,-2.67641700744845,-2.8190490687470775,-2.7211884327046265,0.059470959121820134,1,-2.6159950754083865,-2.5988355290327987,-2.626476965434977,-2.6430492158784964,-2.6151308654726746,-2.619897530245467,0.014566040347037752,2.7211884327046265,0.059470959121820134
0.06314525604248047,0.005182187365762581,0.004399633407592774,0.0012028440571689389,0.7,0.01,3,100,1,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 1, 'model__subsample': 1.0}",-2.6674529934013864,-2.7554793640330417,-2.699563250821423,-2.6751476353843584,-2.812858631282278,-2.7221003749844974,0.054863532572204776,2,-2.627085540676909,-2.606397869155263,-2.6277588922293136,-2.635491283128412,-2.6182123604591494,-2.6229891891298096,0.00993903927602013,2.7221003749844974,0.054863532572204776
0.049628400802612306,0.00450461445682373,0.0066112041473388675,0.002001908756073723,1.0,0.01,3,200,5,0.7,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 5, 'model__subsample': 0.7}",-2.688778649644299,-2.7449714811998547,-2.7013958243769394,-2.6732775764892365,-2.802645154761877,-2.722213737294441,0.046761450452806934,3,-2.517131113254077,-2.5125861195094585,-2.520773976881713,-2.529610290633405,-2.5027470458182144,-2.5165697092193735,0.008888001070673177,2.722213737294441,0.046761450452806934
0.044850635528564456,0.004571867452400681,0.005793333053588867,0.002184240387621445,1.0,0.01,3,200,5,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 5, 'model__subsample': 1.0}",-2.6702378717657735,-2.76564938316569,-2.695800044523661,-2.6738213565508655,-2.80608754679029,-2.7223192405592562,0.054152399529805835,4,-2.5384107884220573,-2.520157291369975,-2.5543744835907383,-2.549292791202758,-2.532176304655314,-2.5388823318481686,0.012200038724630024,2.7223192405592562,0.054152399529805835
0.026213932037353515,0.008170782456024319,0.0033374309539794924,0.0007371985187041729,1.0,0.01,3,100,1,0.7,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 1, 'model__subsample': 0.7}",-2.6740057491487055,-2.7549138119223584,-2.701222738396422,-2.666173179831656,-2.8176636968264295,-2.7227958352251145,0.0567159090588538,5,-2.60765380589906,-2.595489641022969,-2.6086140435132967,-2.6187408531780845,-2.589396741585047,-2.6039790170396917,0.010369297105755576,2.7227958352251145,0.0567159090588538
0.04635038375854492,0.0055161982561674336,0.0035887241363525392,0.0009926982977376494,1.0,0.01,3,200,1,0.7,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1, 'model__subsample': 0.7}",-2.685536104021679,-2.7543845869834267,-2.709789829443015,-2.6636164349978104,-2.801383463752633,-2.7229420838397127,0.049463931948361864,6,-2.4910072703591295,-2.4851563594186366,-2.4951929306853398,-2.5089143542798955,-2.4823867730039955,-2.4925315375493993,0.00932858604568296,2.7229420838397127,0.049463931948361864
0.02805294990539551,0.005154267778799857,0.005070400238037109,0.0011247024471861024,1.0,0.01,3,100,5,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 5, 'model__subsample': 1.0}",-2.6650417300485403,-2.7598580910310853,-2.6864381053172384,-2.688863108815854,-2.814964084264845,-2.7230330238955127,0.05599494040449864,7,-2.626318013118501,-2.6154326903228826,-2.6401090731862076,-2.6561539371641176,-2.6254285489645888,-2.6326884525512595,0.014119097757722182,2.7230330238955127,0.05599494040449864
0.062006235122680664,0.003568701406650884,0.0047566890716552734,0.0007565369028476551,0.7,0.01,3,100,1,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 1, 'model__subsample': 0.7}",-2.6798511027916208,-2.7476692469182984,-2.7030838845219307,-2.669560224448718,-2.8207245071755014,-2.724177793171214,0.05525577555232806,8,-2.616452849706017,-2.6007315392994266,-2.612962321994796,-2.6292985233348625,-2.5978150467338446,-2.611452056213789,0.011372622718194529,2.724177793171214,0.05525577555232806
0.026584148406982422,0.002211194985230219,0.004136085510253906,0.0009818401882474106,1.0,0.01,3,100,5,0.7,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 5, 'model__subsample': 0.7}",-2.675250939798761,-2.7491128821068407,-2.706765888321474,-2.681144210491489,-2.813985478868604,-2.7252518799174337,0.05143988998537113,9,-2.624539367563363,-2.613774486721131,-2.622873757750773,-2.6304855734192176,-2.602783855494078,-2.6188914081897123,0.009672841977828682,2.7252518799174337,0.05143988998537113
0.03788280487060547,0.008113954429028996,0.005051422119140625,0.0028996623140296446,0.7,0.01,3,200,5,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 5, 'model__subsample': 1.0}",-2.69296778611576,-2.7608998971280982,-2.687120906592879,-2.678130602148534,-2.808113849056828,-2.72544660820842,0.050701767470217804,10,-2.5435030642993675,-2.536023425111644,-2.5573755190894243,-2.5561879596345065,-2.5421810720101155,-2.5470542080290115,0.008342555107567769,2.72544660820842,0.050701767470217804
0.03460826873779297,0.005120117156039309,0.004008102416992188,0.002077810579091092,0.7,0.01,3,200,1,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1, 'model__subsample': 0.7}",-2.6937609720841666,-2.748419194499394,-2.7066187907534163,-2.664034907125956,-2.819047903551299,-2.7263763536028462,0.053692612815597354,11,-2.509517577081626,-2.4981625969016785,-2.5107595264022424,-2.5222341313087075,-2.5012097533589635,-2.508376717010644,0.008422599253333968,2.7263763536028462,0.053692612815597354
0.03910284042358399,0.008409287788691556,0.0035085201263427733,0.0010534253583135227,0.7,0.01,3,200,5,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 5, 'model__subsample': 0.7}",-2.688433371911254,-2.748560749006536,-2.7018399780811513,-2.6775203684921594,-2.8186930775675254,-2.727009509011725,0.0518481076967421,12,-2.5356544336551177,-2.525720142676877,-2.5339564767766536,-2.5452449956601995,-2.5224416308951283,-2.5326035359327954,0.008019854694304808,2.727009509011725,0.0518481076967421
0.02252359390258789,0.0035545509320209436,0.0040377616882324215,0.0014476556440176762,0.7,0.01,3,100,5,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 5, 'model__subsample': 1.0}",-2.6747274146457514,-2.759697320107526,-2.6965682695451934,-2.687554868725589,-2.81904970945899,-2.72751951649661,0.05432374443297144,13,-2.642942835005525,-2.625446208514606,-2.6411205092011127,-2.648206030777018,-2.6262077519406386,-2.63678466708778,0.009247722793230136,2.72751951649661,0.05432374443297144
0.037218332290649414,0.003500195114922953,0.003639411926269531,0.0010394862965116445,0.7,0.01,5,100,1,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__reg_lambda': 1, 'model__subsample': 1.0}",-2.6558788455970763,-2.756240407023613,-2.7048389115594795,-2.6937965602367884,-2.828476084950832,-2.7278461618735577,0.059666771534675825,14,-2.467105753763658,-2.502794298428647,-2.4906020346492124,-2.472124110624488,-2.487884327383058,-2.484102104969813,0.012948364308919321,2.7278461618735577,0.059666771534675825
0.05280404090881348,0.006593036809906392,0.00488433837890625,0.0017784995759983987,1.0,0.01,5,100,5,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__reg_lambda': 5, 'model__subsample': 1.0}",-2.644479323221978,-2.780023341761727,-2.700267865359415,-2.6950447324505826,-2.819755440011686,-2.727914140561078,0.06317638229752523,15,-2.482838905826542,-2.5132887056722173,-2.5240824341635286,-2.5189817218666697,-2.501511943141653,-2.5081407421341217,0.014712510401217408,2.727914140561078,0.06317638229752523
0.03613624572753906,0.016410814144338686,0.0050827980041503905,0.0017071746246845835,0.7,0.01,3,100,5,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__reg_lambda': 5, 'model__subsample': 0.7}",-2.676155710960993,-2.748784592770503,-2.7081318860537054,-2.684651823545682,-2.823226623294588,-2.728190127325094,0.05378022870606638,16,-2.6329655586363607,-2.6171034709348313,-2.6272165021039156,-2.643522806683313,-2.6109183725727925,-2.6263453421862426,0.011515685369778593,2.728190127325094,0.05378022870606638
0.036246538162231445,0.004968863759663828,0.0029302120208740236,0.00024843670809749567,0.7,0.01,3,200,1,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1, 'model__subsample': 1.0}",-2.6927676069494444,-2.7617244940395924,-2.7147227465965837,-2.670216155351336,-2.814696036737755,-2.730825407934943,0.05171113867370318,17,-2.5113085995815605,-2.5076851118226458,-2.5394215359401606,-2.533299907217833,-2.5079156266402696,-2.5199261562404938,0.013618262130870994,2.730825407934943,0.05171113867370318
0.04655928611755371,0.011154667915611543,0.004111528396606445,0.002241189352341734,1.0,0.01,3,200,1,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1, 'model__subsample': 1.0}",-2.67709223152784,-2.764287647799716,-2.716243970586927,-2.67145174780299,-2.828533682775369,-2.7315218560985683,0.05880358381634976,18,-2.509696591094169,-2.492706172701264,-2.5346351666908,-2.532028016540275,-2.5043823803334946,-2.514689665472001,0.016204235925867703,2.7315218560985683,0.05880358381634976
